lnm;eM5;eM5Ba
800;-58,94891801;-250,0362229
799;-55,72778173;-258,1118606
798;-49,02105429;-251,7605899
797;-39,04954356;-251,2818901
796;-48,96417377;-255,9914486
795;-38,30468922;-245,7327209
794;-41,59435921;-247,5035843
793;-53,78361093;-251,5804488
792;-41,81676486;-239,8533281
791;-49,75021002;-250,4583215
790;-42,07020102;-249,5420631
789;-34,01119611;-231,7433944
788;-41,95641377;-242,273137
787;-40,85989494;-250,8701058
786;-34,00602145;-249,9435795
785;-39,97541789;-244,4302663
784;-48,43151837;-251,8377965
783;-37,96846722;-245,8099509
782;-43,04773174;-246,8498191
781;-42,72189108;-245,6966788
780;-34,69921649;-250,0362229
779;-36,73218307;-245,4804722
778;-44,79068448;-257,1288729
777;-46,3835866;-251,1223312
776;-47,99711751;-255,0135367
775;-40,04783113;-254,7356067
774;-41,65125138;-249,3979409
773;-44,52691646;-254,5760479
772;-40,20817578;-243,0711407
771;-50,95509696;-262,0384796
770;-44,0666161;-248,594908
769;-40,9633416;-248,6515325
768;-34,86475616;-245,8717208
767;-48,23500349;-256,6759475
766;-37,39946987;-247,7197908
765;-36,28214472;-249,4185232
764;-45,2096021;-252,6201773
763;-39,60817412;-245,9592419
762;-40,86506669;-244,610454
761;-46,49219045;-258,1581706
760;-44,73379231;-255,6620399
759;-44,86308899;-258,5493028
758;-34,41469744;-248,2860582
757;-40,04783113;-255,2708844
756;-43,24944166;-262,4295652
755;-38,04088628;-252,7745906
754;-35,73381691;-255,131931
753;-42,37535759;-258,5029928
752;-43,15117258;-260,0160195
751;-33,35937508;-252,9959194
750;-39,41679024;-249,5472087
749;-46,32152559;-255,2194288
748;-41,02023668;-263,6131365
747;-45,73712358;-258,5904906
746;-44,69241831;-253,1503327
745;-46,23877758;-263,2477786
744;-34,4664295;-256,9641685
743;-39,76334701;-253,1297505
742;-45,19408685;-257,3604695
741;-44,84240199;-261,2202428
740;-40,58058839;-259,6866572
739;-43,54424891;-256,6862619
738;-45,36992637;-258,5904906
737;-41,51677422;-257,7516017
736;-38,03571162;-257,2523896
735;-49,71918534;-259,5631639
734;-31,80738131;-254,1848924
733;-51,08955083;-271,5267474
732;-44,94066816;-263,8807287
731;-46,58011021;-263,6903198
730;-43,88042726;-259,7947372
729;-45,23546086;-263,5874087
728;-44,49588596;-260,638725
727;-44,19591569;-267,7553566
726;-44,68724655;-266,4895728
725;-45,78884109;-265,8360871
724;-41,93572386;-259,0279328
723;-43,75629942;-259,4550839
722;-45,33889587;-262,0178973
721;-45,1475411;-267,0967486
720;-39,33920234;-258,2971239
719;-44,82171498;-260,6901806
718;-39,43748015;-259,5888916
717;-47,45927872;-263,2374875
716;-45,78884109;-270,8218992
715;-47,57305433;-269,4275696
714;-42,48397308;-262,1310996
713;-40,62196531;-258,6882561
712;-41,61504621;-261,1636417
711;-43,09428041;-266,3866617
710;-42,32880892;-263,371272
709;-42,90808574;-261,6370795
708;-46,16120423;-264,2615
707;-43,704579;-260,7107628
706;-40,50817515;-256,4237686
705;-42,82016016;-263,6903198
704;-36,44767567;-258,8426694
703;-42,20467818;-264,0248043
702;-43,663205;-264,3592888
701;-43,84422209;-261,4878351
700;-42,74257808;-264,3078333
699;-41,2685069;-263,3455442
698;-41,08230351;-263,0882431
697;-44,66655955;-262,0642073
696;-39,92886632;-258,8426694
695;-41,26333224;-257,8390995
694;-38,49090426;-257,0979763
693;-42,85636533;-259,0793883
692;-42,00813419;-258,9147072
691;-41,50643072;-260,5975606
690;-42,26157034;-259,0227872
689;-41,12368042;-260,5563961
688;-48,60734625;-261,1790784
687;-42,19950642;-259,6609294
686;-45,2096021;-260,036625
685;-42,0184806;-255,6054387
684;-46,31635384;-254,8128134
683;-42,54086816;-256,7788819
682;-38,16502867;-255,6517487
681;-45,38026988;-263,9733488
680;-41,51677422;-260,6284339
679;-41,7029747;-259,1720317
678;-42,17364476;-254,5657568
677;-40,47713883;-255,1936777
676;-41,07196;-255,1164944
675;-41,75469803;-254,0973946
674;-41,8115902;-253,1451872
673;-42,05468576;-259,7381361
672;-41,94089561;-256,6142008
671;-37,46154252;-246,1136784
670;-38,72884263;-246,0621996
669;-40,65300163;-257,185474
668;-44,74930756;-264,0968421
667;-38,196065;-257,031084
666;-38,81677694;-249,320711
665;-35,22686602;-249,2898377
664;-39,94955623;-250,4634671
663;-42,94429091;-252,8981306
662;-38,68229105;-248,8368424
661;-39,91334816;-257,8390995
660;-41,35643539;-260,9423595
659;-31,00549802;-252,1466464
658;-28,14445761;-252,3370786
657;-26,08004725;-245,882012
656;-28,47040887;-249,1405467
655;-31,64700465;-252,2032475
654;-30,45710328;-246,2989883
653;-31,24347713;-249,3618988
652;-30,28637439;-250,8289181
651;-30,83477204;-246,988819
650;-27,03724313;-244,8009327
649;-27,09415567;-247,0196923
648;-28,06167759;-247,0454434
647;-32,28850546;-247,5087531
646;-31,73495352;-250,2060961
645;-27,00619807;-244,8575571
644;-26,91306581;-245,207618
643;-29,349947;-244,4405574
642;-27,73572342;-243,7970368
641;-29,19473336;-240,8882137
640;-38,02019346;-239,740056
639;-30,50366358;-235,7187448
638;-33,10588654;-237,2840652
637;-37,97881363;-245,9952608
636;-33,20935066;-238,03066
635;-29,82592268;-229,6165563
634;-32,48509311;-229,5238432
633;-36,13213194;-231,9802763
632;-25,88860516;-230,687717
631;-31,79186024;-238,3396029
630;-34,6630055;-245,8871575
629;-33,78357796;-244,697975
628;-34,79233419;-242,0723438
627;-34,03706069;-241,8406773
626;-32,82135585;-246,2320728
625;-32,6868525;-243,0196619
624;-32,75927738;-239,369343
623;-29,97078409;-238,5815838
622;-35,97177274;-239,09132
621;-36,35973844;-239,1634043
620;-36,73218307;-239,5341173
619;-31,48145624;-238,7617948
618;-31,08310048;-237,9482845
617;-31,6780468;-236,8000569
616;-34,30606448;-228,7050011
615;-31,89533018;-227,5513951
614;-31,0675794;-227,8140513
613;-33,12140761;-237,5003183
612;-32,2833308;-230,9709555
611;-33,83013536;-224,6208722
610;-28,94122154;-230,1315311
609;-34,12500373;-234,2203166
608;-37,21842368;-234,4932174
607;-35,31998082;-236,3263397
606;-33,34902867;-233,5972385
605;-32,24711982;-228,4526592
604;-31,97292972;-232,8814473
603;-30,93306732;-231,2438795
602;-30,93824198;-232,196576
601;-32,6506386;-234,6992027
600;-33,06450089;-234,6013673
599;-30,15703405;-231,5683058
598;-27,55463647;-232,2068671
597;-31,68839321;-234,0143314
596;-25,2884056;-229,8534382
595;-32,86274441;-236,707367
594;-29,71210342;-236,0431477
593;-29,55171803;-233,9576837
592;-30,42088647;-233,3603567
591;-31,63665824;-243,6219947
