lnm;e375;e375Ar;e375Ba;e375ArBa
400;6,03E+02;6,35E+02;4,96E+02;6,04E+02
402;1,83E+03;1,88E+03;1,88E+03;2,04E+03
404;3,04E+03;3,08E+03;3,24E+03;3,51E+03
406;1,45E+03;1,59E+03;1,29E+03;1,42E+03
408;1,15E+03;1,15E+03;6,75E+02;7,75E+02
410;1,43E+03;1,57E+03;8,36E+02;9,40E+02
412;2,18E+03;2,50E+03;1,59E+03;1,82E+03
414;6,10E+03;6,22E+03;5,69E+03;5,96E+03
416;7,64E+03;7,91E+03;7,01E+03;7,65E+03
418;4,77E+03;5,01E+03;3,18E+03;3,40E+03
420;4,06E+03;4,35E+03;1,60E+03;1,74E+03
422;4,51E+03;5,12E+03;1,40E+03;1,49E+03
424;5,57E+03;6,09E+03;1,37E+03;1,58E+03
426;6,74E+03;7,55E+03;1,52E+03;1,71E+03
428;8,07E+03;8,92E+03;1,58E+03;1,84E+03
430;9,74E+03;1,09E+04;1,77E+03;1,95E+03
432;1,16E+04;1,30E+04;1,83E+03;2,02E+03
434;1,38E+04;1,54E+04;2,00E+03;2,22E+03
436;1,63E+04;1,85E+04;2,11E+03;2,31E+03
438;1,91E+04;2,13E+04;2,27E+03;2,45E+03
440;2,25E+04;2,53E+04;2,44E+03;2,58E+03
442;2,58E+04;2,88E+04;2,67E+03;2,66E+03
444;2,93E+04;3,34E+04;2,81E+03;2,76E+03
446;3,37E+04;3,76E+04;2,86E+03;2,86E+03
448;3,78E+04;4,28E+04;3,04E+03;3,08E+03
450;4,26E+04;4,81E+04;3,14E+03;3,14E+03
452;4,72E+04;5,39E+04;3,30E+03;3,33E+03
454;5,23E+04;5,95E+04;3,41E+03;3,37E+03
456;5,76E+04;6,55E+04;3,54E+03;3,50E+03
458;6,34E+04;7,20E+04;3,68E+03;3,54E+03
460;6,93E+04;7,95E+04;3,85E+03;3,78E+03
462;7,57E+04;8,60E+04;3,96E+03;3,72E+03
464;8,20E+04;9,39E+04;3,91E+03;3,80E+03
466;8,85E+04;1,01E+05;4,13E+03;3,90E+03
468;9,49E+04;1,08E+05;4,19E+03;4,10E+03
470;1,01E+05;1,16E+05;4,27E+03;4,20E+03
472;1,07E+05;1,24E+05;4,47E+03;4,26E+03
474;1,14E+05;1,31E+05;4,35E+03;4,33E+03
476;1,20E+05;1,38E+05;4,35E+03;4,44E+03
478;1,26E+05;1,45E+05;4,72E+03;4,52E+03
480;1,31E+05;1,51E+05;4,76E+03;4,68E+03
482;1,36E+05;1,58E+05;4,72E+03;4,86E+03
484;1,41E+05;1,62E+05;4,66E+03;4,75E+03
486;1,46E+05;1,69E+05;4,71E+03;4,99E+03
488;1,49E+05;1,73E+05;4,62E+03;5,31E+03
490;1,53E+05;1,77E+05;4,77E+03;5,56E+03
492;1,56E+05;1,81E+05;4,78E+03;5,67E+03
494;1,59E+05;1,84E+05;4,84E+03;6,14E+03
496;1,60E+05;1,86E+05;4,85E+03;6,47E+03
498;1,62E+05;1,89E+05;4,87E+03;6,86E+03
500;1,63E+05;1,91E+05;4,99E+03;7,42E+03
502;1,64E+05;1,91E+05;5,12E+03;7,97E+03
504;1,64E+05;1,92E+05;5,26E+03;8,69E+03
506;1,64E+05;1,93E+05;5,41E+03;9,58E+03
508;1,63E+05;1,91E+05;5,65E+03;1,07E+04
510;1,63E+05;1,91E+05;5,72E+03;1,16E+04
512;1,62E+05;1,90E+05;6,05E+03;1,33E+04
514;1,60E+05;1,88E+05;6,55E+03;1,52E+04
516;1,58E+05;1,86E+05;7,07E+03;1,71E+04
518;1,56E+05;1,83E+05;7,45E+03;1,93E+04
520;1,54E+05;1,80E+05;8,26E+03;2,25E+04
522;1,51E+05;1,79E+05;8,95E+03;2,58E+04
524;1,49E+05;1,75E+05;9,93E+03;2,96E+04
526;1,46E+05;1,72E+05;1,11E+04;3,38E+04
528;1,43E+05;1,70E+05;1,23E+04;3,88E+04
530;1,40E+05;1,67E+05;1,36E+04;4,40E+04
532;1,36E+05;1,62E+05;1,49E+04;5,02E+04
534;1,33E+05;1,59E+05;1,68E+04;5,69E+04
536;1,29E+05;1,56E+05;1,84E+04;6,43E+04
538;1,25E+05;1,51E+05;2,05E+04;7,17E+04
540;1,22E+05;1,49E+05;2,27E+04;7,99E+04
542;1,18E+05;1,45E+05;2,51E+04;8,91E+04
544;1,15E+05;1,41E+05;2,74E+04;9,96E+04
546;1,12E+05;1,39E+05;3,02E+04;1,08E+05
548;1,08E+05;1,34E+05;3,23E+04;1,20E+05
550;1,05E+05;1,31E+05;3,55E+04;1,31E+05
552;1,02E+05;1,28E+05;3,81E+04;1,43E+05
554;9,86E+04;1,24E+05;4,14E+04;1,54E+05
556;9,51E+04;1,21E+05;4,47E+04;1,68E+05
558;9,16E+04;1,18E+05;4,80E+04;1,81E+05
560;8,86E+04;1,16E+05;5,18E+04;1,95E+05
562;8,57E+04;1,13E+05;5,50E+04;2,09E+05
564;8,33E+04;1,09E+05;5,90E+04;2,23E+05
566;8,05E+04;1,07E+05;6,30E+04;2,38E+05
568;7,75E+04;1,05E+05;6,69E+04;2,51E+05
570;7,48E+04;1,03E+05;7,05E+04;2,65E+05
572;7,23E+04;1,01E+05;7,49E+04;2,79E+05
574;6,98E+04;9,78E+04;7,79E+04;2,94E+05
576;6,73E+04;9,59E+04;8,16E+04;3,08E+05
578;6,51E+04;9,40E+04;8,48E+04;3,21E+05
580;6,30E+04;9,10E+04;8,87E+04;3,32E+05
582;6,06E+04;9,00E+04;9,19E+04;3,44E+05
584;5,82E+04;8,76E+04;9,41E+04;3,57E+05
