λ_nm;IrSL_1E-7;IrSL_1E-6;IrSL_5E-6;IrSL_1E-5;IrSL_2.5E-5;IrSL_5E-5
420;5,91E+03;5,92E+03;5,97E+03;6,61E+03;7,22E+03;7,48E+03
422;6,81E+03;6,88E+03;7,11E+03;7,74E+03;7,88E+03;8,78E+03
424;2,71E+03;2,74E+03;3,08E+03;3,55E+03;5,12E+03;6,12E+03
426;1,34E+03;1,52E+03;1,82E+03;2,66E+03;4,16E+03;5,63E+03
428;1,68E+03;1,71E+03;2,19E+03;2,97E+03;4,82E+03;6,03E+03
430;1,80E+03;1,74E+03;2,32E+03;3,19E+03;4,77E+03;6,03E+03
432;1,27E+03;1,23E+03;1,84E+03;2,63E+03;4,55E+03;6,04E+03
434;7,17E+02;7,35E+02;1,25E+03;2,27E+03;4,32E+03;5,75E+03
436;4,33E+02;4,36E+02;1,04E+03;1,93E+03;4,29E+03;5,98E+03
438;3,08E+02;3,67E+02;8,89E+02;1,85E+03;4,11E+03;5,71E+03
440;3,24E+02;4,17E+02;9,82E+02;1,99E+03;3,93E+03;5,91E+03
442;3,37E+02;4,95E+02;1,08E+03;1,92E+03;4,23E+03;5,85E+03
444;2,99E+02;4,76E+02;9,91E+02;1,85E+03;4,25E+03;6,10E+03
446;2,85E+02;3,61E+02;1,07E+03;2,08E+03;4,37E+03;5,95E+03
448;3,29E+02;4,41E+02;1,14E+03;2,15E+03;4,24E+03;5,90E+03
450;3,48E+02;4,13E+02;1,03E+03;1,84E+03;4,11E+03;6,26E+03
452;2,52E+02;4,07E+02;9,82E+02;2,12E+03;4,12E+03;6,27E+03
454;2,24E+02;3,51E+02;1,10E+03;1,92E+03;4,11E+03;6,10E+03
456;2,31E+02;4,17E+02;1,16E+03;2,02E+03;4,54E+03;6,58E+03
458;2,65E+02;4,18E+02;9,57E+02;1,95E+03;4,21E+03;6,60E+03
460;2,74E+02;4,79E+02;1,17E+03;2,21E+03;4,61E+03;6,39E+03
462;2,56E+02;3,75E+02;1,07E+03;2,36E+03;4,50E+03;7,07E+03
464;2,58E+02;3,59E+02;1,09E+03;2,17E+03;4,96E+03;7,92E+03
466;2,61E+02;4,20E+02;1,32E+03;2,46E+03;5,25E+03;8,71E+03
468;2,58E+02;4,83E+02;1,30E+03;2,76E+03;5,84E+03;9,51E+03
470;2,25E+02;4,42E+02;1,56E+03;3,26E+03;6,60E+03;1,08E+04
472;2,92E+02;4,76E+02;1,78E+03;3,70E+03;7,97E+03;1,31E+04
474;1,95E+02;6,43E+02;2,19E+03;4,41E+03;9,29E+03;1,65E+04
476;2,53E+02;7,65E+02;2,64E+03;5,32E+03;1,14E+04;2,08E+04
478;2,03E+02;7,84E+02;3,09E+03;7,03E+03;1,47E+04;2,54E+04
480;2,99E+02;9,78E+02;3,95E+03;8,59E+03;1,81E+04;3,25E+04
482;3,45E+02;1,15E+03;4,80E+03;1,12E+04;2,34E+04;4,19E+04
484;3,41E+02;1,51E+03;6,57E+03;1,40E+04;2,89E+04;5,37E+04
486;3,66E+02;1,86E+03;8,09E+03;1,82E+04;3,67E+04;6,90E+04
488;3,36E+02;2,25E+03;9,85E+03;2,28E+04;4,69E+04;8,71E+04
490;5,39E+02;2,77E+03;1,24E+04;2,84E+04;5,98E+04;1,09E+05
492;5,24E+02;3,49E+03;1,54E+04;3,48E+04;7,28E+04;1,34E+05
494;6,24E+02;4,40E+03;1,89E+04;4,25E+04;9,15E+04;1,68E+05
496;7,38E+02;5,35E+03;2,39E+04;5,33E+04;1,11E+05;2,07E+05
498;7,38E+02;6,31E+03;2,91E+04;6,55E+04;1,35E+05;2,53E+05
500;8,67E+02;7,70E+03;3,48E+04;7,77E+04;1,63E+05;3,02E+05
502;1,07E+03;9,13E+03;4,16E+04;9,27E+04;1,96E+05;3,62E+05
504;1,33E+03;1,09E+04;4,83E+04;1,08E+05;2,32E+05;4,30E+05
506;1,51E+03;1,26E+04;5,73E+04;1,28E+05;2,74E+05;5,04E+05
508;1,56E+03;1,47E+04;6,74E+04;1,50E+05;3,21E+05;5,88E+05
510;1,89E+03;1,71E+04;7,79E+04;1,75E+05;3,72E+05;6,84E+05
512;2,09E+03;1,96E+04;8,87E+04;2,00E+05;4,28E+05;7,88E+05
514;2,21E+03;2,27E+04;1,02E+05;2,30E+05;4,91E+05;9,04E+05
516;2,71E+03;2,60E+04;1,17E+05;2,61E+05;5,56E+05;1,02E+06
518;3,04E+03;2,96E+04;1,30E+05;2,92E+05;6,26E+05;1,15E+06
520;3,40E+03;3,15E+04;1,44E+05;3,27E+05;7,00E+05;1,29E+06
522;3,58E+03;3,59E+04;1,64E+05;3,65E+05;7,80E+05;1,43E+06
524;4,01E+03;3,91E+04;1,79E+05;4,03E+05;8,61E+05;1,58E+06
526;4,68E+03;4,38E+04;1,98E+05;4,42E+05;9,44E+05;1,74E+06
528;5,05E+03;4,69E+04;2,18E+05;4,86E+05;1,03E+06;1,90E+06
530;5,50E+03;5,14E+04;2,36E+05;5,28E+05;1,13E+06;2,07E+06
532;5,75E+03;5,53E+04;2,53E+05;5,71E+05;1,22E+06;2,24E+06
534;6,17E+03;6,02E+04;2,74E+05;6,16E+05;1,32E+06;2,41E+06
536;6,52E+03;6,46E+04;2,95E+05;6,58E+05;1,41E+06;2,59E+06
538;6,80E+03;6,94E+04;3,16E+05;7,03E+05;1,50E+06;2,76E+06
540;7,77E+03;7,42E+04;3,34E+05;7,48E+05;1,60E+06;2,92E+06
542;7,97E+03;7,95E+04;3,54E+05;7,88E+05;1,69E+06;3,09E+06
544;8,49E+03;8,15E+04;3,70E+05;8,33E+05;1,77E+06;3,25E+06
546;8,62E+03;8,70E+04;3,91E+05;8,74E+05;1,87E+06;3,41E+06
548;8,87E+03;8,97E+04;4,06E+05;9,17E+05;1,96E+06;3,57E+06
550;9,23E+03;9,24E+04;4,28E+05;9,51E+05;2,03E+06;3,72E+06
552;9,53E+03;9,77E+04;4,40E+05;9,88E+05;2,11E+06;3,86E+06
554;9,74E+03;1,01E+05;4,56E+05;1,02E+06;2,18E+06;4,00E+06
556;1,02E+04;1,04E+05;4,70E+05;1,05E+06;2,25E+06;4,13E+06
558;1,05E+04;1,07E+05;4,85E+05;1,08E+06;2,33E+06;4,24E+06
560;1,04E+04;1,09E+05;4,97E+05;1,11E+06;2,39E+06;4,35E+06
562;1,11E+04;1,12E+05;5,10E+05;1,14E+06;2,43E+06;4,43E+06
564;1,10E+04;1,13E+05;5,17E+05;1,16E+06;2,49E+06;4,54E+06
566;1,20E+04;1,18E+05;5,24E+05;1,19E+06;2,53E+06;4,61E+06
568;1,17E+04;1,18E+05;5,34E+05;1,20E+06;2,57E+06;4,68E+06
570;1,24E+04;1,20E+05;5,41E+05;1,22E+06;2,61E+06;4,75E+06
572;1,24E+04;1,21E+05;5,49E+05;1,23E+06;2,64E+06;4,81E+06
574;1,23E+04;1,22E+05;5,48E+05;1,24E+06;2,66E+06;4,83E+06
576;1,22E+04;1,23E+05;5,54E+05;1,25E+06;2,68E+06;4,86E+06
578;1,27E+04;1,23E+05;5,59E+05;1,25E+06;2,69E+06;4,88E+06
580;1,30E+04;1,23E+05;5,62E+05;1,26E+06;2,71E+06;4,90E+06
582;1,21E+04;1,25E+05;5,57E+05;1,26E+06;2,70E+06;4,91E+06
584;1,24E+04;1,24E+05;5,66E+05;1,26E+06;2,69E+06;4,89E+06
586;1,18E+04;1,24E+05;5,56E+05;1,26E+06;2,68E+06;4,91E+06
588;1,18E+04;1,24E+05;5,56E+05;1,25E+06;2,67E+06;4,89E+06
590;1,20E+04;1,24E+05;5,57E+05;1,24E+06;2,66E+06;4,86E+06
592;1,20E+04;1,23E+05;5,47E+05;1,24E+06;2,65E+06;4,82E+06
594;1,24E+04;1,20E+05;5,48E+05;1,23E+06;2,63E+06;4,77E+06
596;1,20E+04;1,19E+05;5,41E+05;1,22E+06;2,61E+06;4,74E+06
598;1,15E+04;1,18E+05;5,34E+05;1,21E+06;2,57E+06;4,68E+06
600;1,14E+04;1,19E+05;5,30E+05;1,19E+06;2,55E+06;4,64E+06
602;1,15E+04;1,15E+05;5,22E+05;1,18E+06;2,53E+06;4,58E+06
604;1,12E+04;1,15E+05;5,22E+05;1,16E+06;2,49E+06;4,50E+06
606;1,14E+04;1,13E+05;5,09E+05;1,14E+06;2,46E+06;4,45E+06
608;1,09E+04;1,11E+05;5,02E+05;1,13E+06;2,41E+06;4,40E+06
610;1,15E+04;1,08E+05;4,93E+05;1,12E+06;2,38E+06;4,31E+06
612;1,06E+04;1,08E+05;4,84E+05;1,10E+06;2,34E+06;4,24E+06
614;1,03E+04;1,06E+05;4,79E+05;1,07E+06;2,29E+06;4,18E+06
616;1,06E+04;1,02E+05;4,72E+05;1,05E+06;2,25E+06;4,10E+06
618;1,05E+04;1,02E+05;4,60E+05;1,03E+06;2,21E+06;4,02E+06
620;9,65E+03;1,01E+05;4,54E+05;1,01E+06;2,17E+06;3,93E+06
622;9,77E+03;9,68E+04;4,43E+05;9,92E+05;2,13E+06;3,86E+06
624;9,23E+03;9,50E+04;4,37E+05;9,75E+05;2,08E+06;3,78E+06
626;9,81E+03;9,39E+04;4,23E+05;9,49E+05;2,03E+06;3,70E+06
628;9,83E+03;9,01E+04;4,18E+05;9,32E+05;1,99E+06;3,61E+06
630;8,77E+03;9,01E+04;4,08E+05;9,06E+05;1,94E+06;3,53E+06
632;8,58E+03;8,74E+04;3,95E+05;8,91E+05;1,91E+06;3,45E+06
634;8,73E+03;8,45E+04;3,86E+05;8,60E+05;1,85E+06;3,36E+06
636;7,87E+03;8,38E+04;3,77E+05;8,51E+05;1,81E+06;3,29E+06
638;8,20E+03;8,17E+04;3,70E+05;8,27E+05;1,76E+06;3,20E+06
640;7,66E+03;8,02E+04;3,62E+05;8,02E+05;1,72E+06;3,14E+06
642;7,35E+03;7,81E+04;3,45E+05;7,84E+05;1,68E+06;3,04E+06
644;7,93E+03;7,56E+04;3,40E+05;7,63E+05;1,63E+06;2,97E+06
646;7,22E+03;7,21E+04;3,28E+05;7,38E+05;1,59E+06;2,87E+06
648;7,06E+03;7,03E+04;3,22E+05;7,22E+05;1,55E+06;2,81E+06
650;7,16E+03;7,17E+04;3,10E+05;7,07E+05;1,52E+06;2,73E+06
652;6,51E+03;6,56E+04;3,05E+05;6,77E+05;1,46E+06;2,64E+06
654;6,76E+03;6,36E+04;2,95E+05;6,67E+05;1,42E+06;2,56E+06
656;6,57E+03;6,25E+04;2,86E+05;6,43E+05;1,38E+06;2,49E+06
658;5,43E+03;6,10E+04;2,78E+05;6,27E+05;1,34E+06;2,41E+06
660;6,18E+03;5,97E+04;2,70E+05;6,04E+05;1,30E+06;2,35E+06
662;5,91E+03;5,68E+04;2,62E+05;5,85E+05;1,26E+06;2,29E+06
664;5,49E+03;5,41E+04;2,48E+05;5,67E+05;1,22E+06;2,21E+06
666;5,45E+03;5,51E+04;2,46E+05;5,55E+05;1,19E+06;2,16E+06
668;5,69E+03;5,22E+04;2,39E+05;5,38E+05;1,15E+06;2,09E+06
670;4,94E+03;5,12E+04;2,29E+05;5,21E+05;1,12E+06;2,01E+06
672;5,13E+03;5,12E+04;2,19E+05;5,06E+05;1,08E+06;1,96E+06
674;4,59E+03;4,57E+04;2,19E+05;4,85E+05;1,04E+06;1,89E+06
676;4,67E+03;4,75E+04;2,11E+05;4,72E+05;1,00E+06;1,82E+06
678;4,42E+03;4,40E+04;2,01E+05;4,55E+05;9,73E+05;1,77E+06
680;3,84E+03;4,43E+04;1,94E+05;4,42E+05;9,43E+05;1,69E+06
682;4,82E+03;4,17E+04;1,85E+05;4,27E+05;9,13E+05;1,65E+06
684;4,30E+03;4,16E+04;1,81E+05;4,12E+05;8,79E+05;1,59E+06
686;4,54E+03;3,84E+04;1,79E+05;3,97E+05;8,53E+05;1,54E+06
688;4,08E+03;3,86E+04;1,71E+05;3,82E+05;8,29E+05;1,49E+06
690;3,58E+03;3,65E+04;1,69E+05;3,71E+05;7,98E+05;1,43E+06
692;3,52E+03;3,68E+04;1,60E+05;3,59E+05;7,70E+05;1,39E+06
694;3,68E+03;3,43E+04;1,53E+05;3,51E+05;7,53E+05;1,34E+06
696;3,17E+03;3,17E+04;1,51E+05;3,38E+05;7,16E+05;1,29E+06
698;3,25E+03;3,22E+04;1,48E+05;3,23E+05;6,98E+05;1,26E+06
700;3,19E+03;3,15E+04;1,41E+05;3,13E+05;6,75E+05;1,22E+06
702;3,23E+03;3,07E+04;1,36E+05;3,01E+05;6,53E+05;1,18E+06
704;3,32E+03;2,93E+04;1,31E+05;2,94E+05;6,27E+05;1,13E+06
706;2,89E+03;2,85E+04;1,27E+05;2,81E+05;6,06E+05;1,11E+06
708;3,01E+03;2,77E+04;1,24E+05;2,78E+05;5,94E+05;1,08E+06
710;2,86E+03;2,73E+04;1,19E+05;2,65E+05;5,71E+05;1,03E+06
712;2,24E+03;2,63E+04;1,16E+05;2,60E+05;5,47E+05;9,98E+05
714;2,54E+03;2,52E+04;1,11E+05;2,45E+05;5,36E+05;9,68E+05
716;2,47E+03;2,58E+04;1,08E+05;2,42E+05;5,20E+05;9,34E+05
718;2,47E+03;2,36E+04;1,05E+05;2,39E+05;4,94E+05;9,14E+05
720;2,06E+03;2,16E+04;1,05E+05;2,27E+05;4,77E+05;8,80E+05
722;2,05E+03;2,03E+04;9,91E+04;2,21E+05;4,62E+05;8,49E+05
724;2,28E+03;2,00E+04;9,65E+04;2,07E+05;4,49E+05;8,20E+05
726;2,03E+03;2,08E+04;8,94E+04;2,07E+05;4,37E+05;7,90E+05
728;1,86E+03;1,81E+04;8,55E+04;1,97E+05;4,31E+05;7,68E+05
730;1,54E+03;2,10E+04;8,43E+04;1,92E+05;4,07E+05;7,38E+05
732;2,12E+03;1,76E+04;8,00E+04;1,82E+05;3,95E+05;7,04E+05
734;2,52E+03;1,67E+04;7,88E+04;1,76E+05;3,83E+05;6,88E+05
736;2,10E+03;1,84E+04;7,54E+04;1,73E+05;3,65E+05;6,53E+05
738;2,05E+03;1,62E+04;7,57E+04;1,68E+05;3,54E+05;6,35E+05
740;1,80E+03;1,60E+04;6,94E+04;1,59E+05;3,47E+05;6,19E+05
742;2,62E+03;1,30E+04;6,66E+04;1,54E+05;3,39E+05;5,96E+05
