λ_nm;RuSL_5E-5;RuSL_2d5E-5;RuSL_1E-5;RuSL_5E-6;RuSL_1E-6;RuSL_1E-7
480;3,76E+03;3,12E+03;1,66E+03;1,17E+03;1,27E+03;2,54E+02
482;4,03E+03;3,11E+03;1,88E+03;1,05E+03;1,21E+03;3,30E+02
484;3,81E+03;3,52E+03;1,74E+03;1,17E+03;1,18E+03;3,89E+02
486;3,87E+03;3,12E+03;1,68E+03;1,23E+03;1,00E+03;3,08E+02
488;3,97E+03;3,16E+03;1,61E+03;8,17E+02;1,11E+03;3,19E+02
490;4,10E+03;3,24E+03;1,75E+03;1,07E+03;1,06E+03;3,57E+02
492;4,11E+03;3,18E+03;1,52E+03;1,03E+03;1,03E+03;3,18E+02
494;4,09E+03;2,99E+03;1,58E+03;8,75E+02;1,01E+03;3,43E+02
496;4,08E+03;3,32E+03;1,47E+03;9,37E+02;9,25E+02;3,21E+02
498;4,31E+03;3,16E+03;1,61E+03;7,35E+02;1,10E+03;2,03E+02
500;4,28E+03;3,01E+03;1,38E+03;8,66E+02;8,72E+02;2,86E+02
502;4,39E+03;2,83E+03;1,50E+03;8,04E+02;8,33E+02;1,91E+02
504;4,15E+03;2,80E+03;1,48E+03;8,49E+02;9,69E+02;2,11E+02
506;4,09E+03;2,75E+03;1,35E+03;8,45E+02;9,24E+02;2,46E+02
508;4,11E+03;2,67E+03;1,37E+03;8,65E+02;8,41E+02;2,30E+02
510;3,92E+03;2,67E+03;1,19E+03;8,20E+02;7,54E+02;1,78E+02
512;4,16E+03;2,40E+03;1,32E+03;7,65E+02;6,93E+02;1,80E+02
514;3,70E+03;2,43E+03;1,09E+03;7,08E+02;7,76E+02;1,88E+02
516;4,00E+03;2,32E+03;1,10E+03;6,40E+02;7,67E+02;2,19E+02
518;4,07E+03;2,35E+03;1,20E+03;6,51E+02;8,56E+02;1,83E+02
520;3,89E+03;2,50E+03;1,18E+03;4,85E+02;7,70E+02;1,55E+02
522;3,55E+03;2,37E+03;1,11E+03;6,45E+02;6,74E+02;1,82E+02
524;3,61E+03;2,36E+03;9,66E+02;5,41E+02;6,27E+02;1,85E+02
526;3,68E+03;2,21E+03;1,02E+03;6,76E+02;5,99E+02;1,25E+02
528;3,50E+03;1,98E+03;9,59E+02;6,51E+02;5,25E+02;1,85E+02
530;3,43E+03;2,06E+03;1,03E+03;5,05E+02;6,44E+02;1,34E+02
532;3,48E+03;2,09E+03;9,63E+02;5,72E+02;6,15E+02;1,09E+02
534;3,56E+03;2,09E+03;1,02E+03;5,62E+02;6,72E+02;1,60E+02
536;3,10E+03;2,22E+03;9,20E+02;5,99E+02;7,28E+02;1,12E+02
538;3,08E+03;2,01E+03;9,38E+02;4,89E+02;5,15E+02;1,19E+02
540;3,39E+03;2,05E+03;1,18E+03;5,41E+02;4,44E+02;9,19E+01
542;3,37E+03;2,26E+03;1,10E+03;6,25E+02;5,54E+02;2,63E+02
544;3,50E+03;2,07E+03;8,96E+02;6,11E+02;6,92E+02;2,24E+02
546;3,64E+03;2,30E+03;1,17E+03;7,88E+02;5,70E+02;2,76E+02
548;3,47E+03;2,13E+03;1,19E+03;6,28E+02;7,36E+02;2,01E+02
550;3,83E+03;2,33E+03;1,13E+03;7,21E+02;6,18E+02;2,35E+02
552;4,09E+03;2,67E+03;1,07E+03;7,34E+02;4,71E+02;1,82E+02
554;4,38E+03;2,83E+03;1,35E+03;5,99E+02;5,29E+02;2,03E+02
556;4,63E+03;3,00E+03;1,30E+03;6,33E+02;6,24E+02;1,80E+02
558;5,45E+03;3,58E+03;1,52E+03;8,73E+02;5,95E+02;9,18E+01
560;6,43E+03;3,59E+03;1,70E+03;1,03E+03;5,60E+02;9,99E+01
562;6,81E+03;3,83E+03;1,94E+03;1,17E+03;5,95E+02;2,29E+02
564;8,38E+03;5,49E+03;2,35E+03;1,29E+03;7,16E+02;2,47E+02
566;9,92E+03;6,26E+03;2,66E+03;1,56E+03;8,15E+02;2,66E+02
568;1,16E+04;7,29E+03;3,04E+03;1,76E+03;7,36E+02;2,27E+02
570;1,40E+04;8,63E+03;3,74E+03;2,04E+03;8,72E+02;3,10E+02
572;1,70E+04;1,07E+04;4,47E+03;2,51E+03;9,31E+02;2,71E+02
574;2,01E+04;1,24E+04;5,17E+03;2,78E+03;1,18E+03;5,04E+02
576;2,49E+04;1,57E+04;6,49E+03;3,25E+03;1,05E+03;3,92E+02
578;2,88E+04;1,86E+04;7,89E+03;3,85E+03;1,19E+03;5,07E+02
580;3,52E+04;2,14E+04;9,11E+03;4,64E+03;1,45E+03;4,69E+02
582;4,26E+04;2,59E+04;1,09E+04;5,36E+03;1,52E+03;5,55E+02
584;5,24E+04;3,16E+04;1,32E+04;6,70E+03;1,63E+03;6,77E+02
586;6,07E+04;3,65E+04;1,54E+04;7,31E+03;2,13E+03;6,71E+02
588;7,25E+04;4,37E+04;1,80E+04;9,96E+03;2,44E+03;8,01E+02
590;8,44E+04;5,18E+04;2,12E+04;1,10E+04;2,37E+03;9,42E+02
592;1,01E+05;6,00E+04;2,53E+04;1,25E+04;2,99E+03;1,13E+03
594;1,20E+05;7,24E+04;2,86E+04;1,50E+04;3,00E+03;1,08E+03
596;1,41E+05;8,57E+04;3,62E+04;1,81E+04;3,73E+03;1,14E+03
598;1,63E+05;9,95E+04;4,05E+04;1,96E+04;4,41E+03;1,32E+03
600;1,90E+05;1,14E+05;4,70E+04;2,38E+04;4,62E+03;1,45E+03
602;2,19E+05;1,31E+05;5,45E+04;2,59E+04;5,41E+03;1,13E+03
604;2,52E+05;1,55E+05;6,26E+04;2,98E+04;5,96E+03;1,61E+03
606;2,89E+05;1,75E+05;7,10E+04;3,53E+04;6,51E+03;1,44E+03
608;3,29E+05;2,00E+05;8,09E+04;3,93E+04;7,23E+03;1,85E+03
610;3,72E+05;2,23E+05;9,02E+04;4,49E+04;8,34E+03;2,20E+03
612;4,11E+05;2,46E+05;1,01E+05;4,89E+04;9,15E+03;2,32E+03
614;4,63E+05;2,76E+05;1,13E+05;5,60E+04;1,01E+04;2,26E+03
616;5,11E+05;3,09E+05;1,26E+05;6,18E+04;1,14E+04;1,73E+03
618;5,67E+05;3,37E+05;1,36E+05;6,78E+04;1,15E+04;2,24E+03
620;6,23E+05;3,73E+05;1,51E+05;7,38E+04;1,26E+04;1,91E+03
622;6,86E+05;4,10E+05;1,62E+05;8,02E+04;1,37E+04;2,27E+03
624;7,46E+05;4,42E+05;1,80E+05;8,71E+04;1,48E+04;2,51E+03
626;8,07E+05;4,83E+05;1,96E+05;9,38E+04;1,52E+04;2,55E+03
628;8,61E+05;5,22E+05;2,07E+05;9,99E+04;1,63E+04;2,63E+03
630;9,34E+05;5,51E+05;2,28E+05;1,07E+05;1,77E+04;2,65E+03
632;9,95E+05;5,93E+05;2,41E+05;1,17E+05;1,89E+04;2,89E+03
634;1,05E+06;6,31E+05;2,50E+05;1,24E+05;1,97E+04;2,91E+03
636;1,12E+06;6,62E+05;2,70E+05;1,31E+05;2,24E+04;2,54E+03
638;1,17E+06;6,92E+05;2,81E+05;1,34E+05;2,19E+04;3,22E+03
640;1,22E+06;7,31E+05;2,95E+05;1,40E+05;2,25E+04;2,68E+03
642;1,28E+06;7,56E+05;3,06E+05;1,47E+05;2,38E+04;3,15E+03
644;1,32E+06;7,88E+05;3,17E+05;1,51E+05;2,51E+04;3,13E+03
646;1,36E+06;8,12E+05;3,29E+05;1,57E+05;2,54E+04;3,06E+03
648;1,41E+06;8,42E+05;3,32E+05;1,66E+05;2,69E+04;3,07E+03
650;1,44E+06;8,58E+05;3,45E+05;1,67E+05;2,65E+04;3,26E+03
652;1,47E+06;8,77E+05;3,49E+05;1,71E+05;2,62E+04;3,43E+03
654;1,49E+06;8,93E+05;3,59E+05;1,73E+05;2,75E+04;3,53E+03
656;1,52E+06;9,05E+05;3,65E+05;1,75E+05;2,84E+04;3,33E+03
658;1,54E+06;9,21E+05;3,66E+05;1,80E+05;2,85E+04;3,56E+03
660;1,55E+06;9,28E+05;3,63E+05;1,79E+05;2,96E+04;2,81E+03
662;1,57E+06;9,28E+05;3,71E+05;1,79E+05;2,85E+04;2,82E+03
664;1,57E+06;9,39E+05;3,69E+05;1,83E+05;2,76E+04;2,69E+03
