Labels;RuSL_BOLD062A2_REP2;RuSL_BOLD062_B2_rep2;RuSL_BOLD062_C2_REP;RuSL_BOLD062_D2_REP2
395;1,62E+03;2,89E+03;1,37E+04;1,14E+04
396;1,71E+03;3,08E+03;1,47E+04;1,22E+04
397;1,75E+03;3,53E+03;1,59E+04;1,34E+04
398;1,87E+03;3,86E+03;1,70E+04;1,41E+04
399;1,93E+03;4,23E+03;1,79E+04;1,49E+04
400;1,91E+03;4,64E+03;1,83E+04;1,54E+04
401;2,02E+03;5,03E+03;1,88E+04;1,54E+04
402;1,98E+03;5,44E+03;1,87E+04;1,56E+04
403;2,01E+03;5,87E+03;1,85E+04;1,56E+04
404;2,06E+03;6,29E+03;1,83E+04;1,56E+04
405;2,03E+03;6,88E+03;1,80E+04;1,52E+04
406;2,09E+03;7,30E+03;1,76E+04;1,51E+04
407;2,07E+03;7,73E+03;1,71E+04;1,48E+04
408;2,08E+03;8,21E+03;1,70E+04;1,46E+04
409;2,08E+03;8,66E+03;1,69E+04;1,45E+04
410;2,12E+03;9,17E+03;1,65E+04;1,45E+04
411;2,20E+03;9,45E+03;1,65E+04;1,45E+04
412;2,21E+03;9,63E+03;1,66E+04;1,46E+04
413;2,27E+03;9,81E+03;1,70E+04;1,48E+04
414;2,33E+03;9,87E+03;1,72E+04;1,51E+04
415;2,28E+03;9,93E+03;1,60E+04;1,53E+04
416;2,44E+03;9,95E+03;1,64E+04;1,56E+04
417;2,42E+03;9,86E+03;1,69E+04;1,58E+04
418;2,46E+03;9,61E+03;1,71E+04;1,61E+04
419;2,54E+03;9,66E+03;1,75E+04;1,63E+04
420;2,50E+03;9,49E+03;1,76E+04;1,65E+04
421;2,53E+03;9,47E+03;1,77E+04;1,66E+04
422;2,52E+03;9,26E+03;1,77E+04;1,66E+04
423;2,55E+03;9,15E+03;1,76E+04;1,63E+04
424;2,46E+03;8,89E+03;1,72E+04;1,63E+04
425;2,52E+03;8,92E+03;1,69E+04;1,60E+04
426;2,47E+03;8,73E+03;1,65E+04;1,58E+04
427;2,45E+03;8,63E+03;1,60E+04;1,53E+04
428;2,35E+03;8,61E+03;1,56E+04;1,50E+04
429;2,34E+03;8,51E+03;1,52E+04;1,45E+04
430;2,35E+03;8,61E+03;1,46E+04;1,41E+04
431;2,34E+03;8,45E+03;1,40E+04;1,38E+04
432;2,33E+03;8,48E+03;1,37E+04;1,35E+04
433;2,28E+03;8,48E+03;1,32E+04;1,31E+04
434;2,30E+03;8,47E+03;1,29E+04;1,28E+04
435;2,31E+03;8,39E+03;1,25E+04;1,25E+04
436;2,32E+03;8,43E+03;1,23E+04;1,23E+04
437;2,20E+03;8,40E+03;1,19E+04;1,21E+04
438;2,22E+03;8,29E+03;1,19E+04;1,19E+04
439;2,22E+03;8,26E+03;1,17E+04;1,18E+04
440;2,20E+03;8,21E+03;1,17E+04;1,18E+04
441;2,26E+03;8,18E+03;1,17E+04;1,18E+04
442;2,23E+03;8,09E+03;1,15E+04;1,17E+04
443;2,21E+03;7,95E+03;1,15E+04;1,16E+04
444;2,23E+03;7,74E+03;1,14E+04;1,15E+04
445;2,19E+03;7,52E+03;1,13E+04;1,13E+04
446;2,08E+03;7,37E+03;1,11E+04;1,12E+04
447;2,16E+03;7,02E+03;1,09E+04;1,10E+04
448;2,07E+03;6,90E+03;1,06E+04;1,09E+04
449;2,07E+03;6,67E+03;1,03E+04;1,05E+04
450;2,03E+03;6,42E+03;1,00E+04;1,03E+04
451;1,97E+03;6,15E+03;9,76E+03;1,01E+04
452;1,96E+03;5,95E+03;9,33E+03;9,71E+03
453;1,88E+03;5,83E+03;9,05E+03;9,50E+03
454;1,89E+03;5,57E+03;8,70E+03;9,07E+03
455;1,84E+03;5,41E+03;8,42E+03;8,85E+03
456;1,82E+03;5,24E+03;8,12E+03;8,53E+03
457;1,76E+03;5,08E+03;7,68E+03;8,31E+03
458;1,70E+03;4,95E+03;7,41E+03;8,04E+03
459;1,67E+03;4,81E+03;7,25E+03;7,72E+03
460;1,66E+03;4,72E+03;6,95E+03;7,48E+03
461;1,61E+03;4,51E+03;6,62E+03;7,29E+03
462;1,59E+03;4,40E+03;6,46E+03;7,04E+03
463;1,57E+03;4,30E+03;6,23E+03;6,83E+03
464;1,57E+03;4,19E+03;6,07E+03;6,69E+03
465;1,54E+03;4,14E+03;5,95E+03;6,57E+03
466;1,48E+03;3,97E+03;5,74E+03;6,46E+03
467;1,48E+03;3,94E+03;5,65E+03;6,27E+03
468;1,44E+03;3,85E+03;5,48E+03;6,13E+03
469;1,45E+03;3,74E+03;5,41E+03;6,08E+03
470;1,42E+03;3,66E+03;5,27E+03;5,96E+03
471;1,41E+03;3,58E+03;5,10E+03;5,77E+03
472;1,36E+03;3,42E+03;5,01E+03;5,72E+03
473;1,35E+03;3,39E+03;4,85E+03;5,53E+03
474;1,33E+03;3,27E+03;4,82E+03;5,43E+03
475;1,34E+03;3,23E+03;4,68E+03;5,40E+03
476;1,31E+03;3,14E+03;4,59E+03;5,21E+03
477;1,26E+03;3,13E+03;4,51E+03;5,06E+03
478;1,29E+03;3,01E+03;4,38E+03;5,00E+03
479;1,20E+03;2,92E+03;4,18E+03;4,89E+03
480;1,23E+03;2,87E+03;4,06E+03;4,68E+03
481;1,17E+03;2,78E+03;3,98E+03;4,66E+03
482;1,20E+03;2,69E+03;3,85E+03;4,51E+03
483;1,18E+03;2,60E+03;3,72E+03;4,43E+03
484;1,12E+03;2,50E+03;3,63E+03;4,28E+03
485;1,11E+03;2,48E+03;3,50E+03;4,22E+03
486;1,08E+03;2,39E+03;3,39E+03;4,10E+03
487;1,09E+03;2,32E+03;3,34E+03;4,09E+03
488;1,07E+03;2,29E+03;3,28E+03;3,91E+03
489;1,04E+03;2,21E+03;3,13E+03;3,80E+03
490;1,03E+03;2,16E+03;3,09E+03;3,78E+03
491;1,04E+03;2,12E+03;3,00E+03;3,67E+03
492;1,05E+03;2,05E+03;2,91E+03;3,59E+03
493;9,81E+02;2,01E+03;2,77E+03;3,45E+03
494;9,86E+02;1,95E+03;2,69E+03;3,42E+03
495;9,70E+02;1,95E+03;2,65E+03;3,36E+03
496;9,59E+02;1,92E+03;2,55E+03;3,26E+03
497;9,92E+02;1,83E+03;2,50E+03;3,18E+03
498;9,29E+02;1,81E+03;2,43E+03;3,16E+03
