λ_nm;c_1E-5M;e_M_1_cm_1
800;0,002207955;220,7955346
799;0,002204495;220,4495016
798;0,002108969;210,8968562
797;0,002105795;210,579508
796;0,002163779;216,3779223
795;0,002123744;212,3743529
794;0,002081059;208,1058687
793;0,002024646;202,4645917
792;0,001996091;199,6091334
791;0,0021027;210,2699829
790;0,002065063;206,5062523
789;0,002002202;200,220244
788;0,002080382;208,0382314
787;0,002042929;204,2929176
786;0,001966524;196,6524404
785;0,001977524;197,7524022
784;0,002016662;201,6661922
783;0,001996377;199,637725
782;0,002050836;205,0835639
781;0,002052578;205,2578377
780;0,002118307;211,8306933
779;0,002054711;205,4710872
778;0,002087067;208,7067114
777;0,002133056;213,3056289
776;0,002137297;213,72966
775;0,002261868;226,186798
774;0,002208085;220,8085498
773;0,002130429;213,0429028
772;0,002140782;214,0782308
771;0,002233193;223,3193489
770;0,002193074;219,3073509
769;0,002151006;215,1005901
768;0,002142499;214,2499201
767;0,002162921;216,2920777
766;0,002170231;217,0231193
765;0,002159643;215,9642754
764;0,002079498;207,9498023
763;0,002099942;209,9942416
762;0,00205713;205,712975
761;0,002029769;202,9769355
760;0,002008834;200,8833922
759;0,001944422;194,4421907
758;0,001912961;191,296055
757;0,002008626;200,8626005
756;0,001976068;197,6067666
755;0,00197508;197,5079533
754;0,002009874;200,987421
753;0,002022539;202,2539265
752;0,002096327;209,6327022
751;0,002035127;203,5126789
750;0,002060875;206,0875064
749;0,00210296;210,2959901
748;0,002159435;215,9434836
747;0,002191877;219,187676
746;0,002116356;211,6356045
745;0,002172468;217,2468463
744;0,002196143;219,6143381
743;0,00223158;223,1580438
742;0,002125252;212,5252271
741;0,002168696;216,8696141
740;0,002076299;207,6298697
739;0,002151136;215,1136054
738;0,002052136;205,2136231
737;0,002003165;200,3164729
736;0,002093752;209,3751915
735;0,00202371;202,3709705
734;0,002011955;201,1954784
733;0,00197612;197,611982
732;0,002017494;201,7494058
731;0,002030472;203,0471573
730;0,001966368;196,6368407
729;0,001929705;192,9705031
728;0,001965744;196,5744188
727;0,002011929;201,1928707
726;0,001975392;197,5391526
725;0,001986522;198,6521529
724;0,002087353;208,7353263
723;0,002035387;203,538686
722;0,002029041;202,9041061
721;0,002088888;208,888785
720;0,002106263;210,6263302
719;0,002118853;211,8853154
718;0,002061863;206,186343
717;0,002137219;213,7218602
716;0,002148248;214,8248488
715;0,002094298;209,4298135
714;0,002127177;212,7177315
713;0,002080122;208,0122242
712;0,002067403;206,7403402
711;0,001998744;199,8743741
710;0,00200098;200,0980312
709;0,001935789;193,5789362
708;0,001970425;197,0424782
707;0,001934281;193,4281201
706;0,001950376;195,0376434
705;0,001950012;195,0012404
704;0,001940392;194,0391609
703;0,001918577;191,8576658
702;0,001956877;195,6877066
701;0,00194112;194,111967
700;0,001981477;198,1476555
699;0,001985091;198,509125
698;0,00199903;199,902989
697;0,002057988;205,7988197
696;0,00202475;202,4749992
695;0,002126683;212,6683015
694;0,002136178;213,6177849
693;0,002103454;210,3453968
692;0,002081345;208,1344835
691;0,002037155;203,7155442
690;0,002134487;213,4487033
689;0,002058404;205,8404265
688;0,001960648;196,0647525
687;0,001983895;198,3894967
686;0,001946034;194,6034143
685;0,001980176;198,0176428
684;0,00196291;196,2909941
683;0,001924453;192,4452838
682;0,0019101;191,0100458
681;0,001927833;192,7832956
680;0,001878174;187,8173556
679;0,001910361;191,036053
678;0,001917901;191,7900634
677;0,00200769;200,7689793
676;0,002025062;202,5061985
675;0,002040718;204,0718449
674;0,002039054;203,9053943
673;0,002041031;204,1030675
672;0,002075154;207,5154334
671;0,002132016;213,2015768
670;0,00220257;220,256974
669;0,002181054;218,105386
668;0,00211659;211,659004
667;0,002067819;206,7819471
666;0,002088316;208,8315552
665;0,002049613;204,9613278
664;0,002066259;206,625904
663;0,002100697;210,0696787
662;0,002035933;203,5933081
661;0,001936829;193,6829416
660;0,001936907;193,6907414
659;0,001995181;199,5180966
658;0,001979734;197,9734283
657;0,001980358;198,0358269
656;0,002001864;200,186437
655;0,002030263;203,0263422
654;0,002028027;202,8026851
653;0,002059913;205,9912775
652;0,002113781;211,3780705
651;0,00206899;206,898991
650;0,002105015;210,5014864
649;0,002126371;212,6371022
648;0,002129623;212,9622502
647;0,00209344;209,3439689
646;0,002046492;204,6492184
645;0,00206371;206,371001
644;0,002033957;203,3956582
643;0,002005713;200,5713293
642;0,002114925;211,4925301
641;0,001990396;199,0396064
640;0,001970815;197,0815007
639;0,002037077;203,7077444
638;0,001936907;193,6907414
637;0,002027221;202,7220558
636;0,002066805;206,680526
635;0,002125851;212,5850646
634;0,002126813;212,6813168
633;0,002143722;214,3722028
632;0,002228874;222,8874248
631;0,002138129;213,812897
630;0,002294317;229,4317354
629;0,002346211;234,6210647
628;0,002320029;232,0029074
627;0,002246724;224,6723743
626;0,002199109;219,9109411
625;0,002228744;222,8744328
624;0,002217192;221,719197
623;0,002187818;218,7818056
622;0,002243575;224,3575407
621;0,00224139;224,1389826
620;0,002281748;228,1748457
619;0,002323725;232,3724562
618;0,002346471;234,6470952
617;0,002430388;243,038754
616;0,002450068;245,006755
615;0,002560459;256,0459077
614;0,002601368;260,136812
613;0,002709246;270,9245542
612;0,002726958;272,6958366
611;0,002717138;271,7138035
610;0,002831792;283,1792226
609;0,002785364;278,5364166
608;0,002869418;286,9417891
607;0,002847843;284,7842639
606;0,00285691;285,6910462
605;0,002944053;294,4053151
604;0,002999751;299,9751363
603;0,002971159;297,1158596
602;0,00305053;305,0529631
601;0,003152521;315,2521327
600;0,003209029;320,9028626
599;0,003266169;326,6168991
598;0,003378594;337,8594294
597;0,003529436;352,9436188
596;0,003614104;361,4103654
595;0,003676754;367,6753724
594;0,003799887;379,9887141
593;0,003896727;389,6726761
592;0,003985437;398,5436633
591;0,003970467;397,0467485
590;0,004078346;407,8345839
589;0,004095227;409,5226526
588;0,004087936;408,7935667
587;0,004158416;415,8416297
586;0,004278706;427,8706387
585;0,004362526;436,252635
584;0,004457268;445,7268398
583;0,004664711;466,4711189
582;0,00484961;484,9609919
581;0,00488961;488,9609758
580;0,005010574;501,0573659
579;0,005173483;517,3483398
578;0,005228552;522,855157
577;0,005436363;543,6363164
576;0,005513774;551,3774231
575;0,00557177;557,176955
574;0,005778722;577,8722465
573;0,005777647;577,7646787
572;0,005935465;593,5464986
571;0,006021206;602,1206267
570;0,006124869;612,4869455
569;0,006222308;622,2307682
568;0,006417355;641,7354569
567;0,00654789;654,7890138
566;0,006737037;673,7036631
565;0,006900122;690,0121924
564;0,007151391;715,1390892
563;0,007261958;726,1957508
562;0,007451758;745,1757789
561;0,007574649;757,4649062
560;0,007786855;778,6854636
559;0,007917934;791,7934097
558;0,008072972;807,2972298
557;0,00820092;820,0920187
556;0,008404538;840,4538035
555;0,008548264;854,8264392
554;0,008768422;876,8421598
553;0,008975609;897,5609206
552;0,009207855;920,7854979
551;0,009463982;946,3981725
550;0,009651041;965,1040658
549;0,009926762;992,6762432
548;0,01017494;1017,494034
547;0,010385902;1038,590167
546;0,010638241;1063,824072
545;0,010875226;1087,5226
544;0,011062496;1106,249634
543;0,011297881;1129,788067
542;0,011494423;1149,442326
541;0,011826644;1182,664372
540;0,012066035;1206,60346
539;0,012358689;1235,868875
538;0,01263227;1263,227034
537;0,012992194;1299,219392
536;0,013261372;1326,137222
535;0,013639127;1363,91269
534;0,013967272;1396,727189
533;0,01430963;1430,96298
532;0,014621951;1462,195069
531;0,014953546;1495,354623
530;0,015380458;1538,045797
529;0,015767818;1576,781832
528;0,01604584;1604,584046
527;0,016416751;1641,675085
526;0,016842226;1684,222557
525;0,017266447;1726,644672
524;0,017783195;1778,319478
523;0,018304959;1830,495894
522;0,018853927;1885,392703
521;0,019405294;1940,529421
520;0,020004064;2000,406384
519;0,020596277;2059,627697
518;0,021203214;2120,32143
517;0,021857115;2185,711451
516;0,022544907;2254,490741
515;0,023268174;2326,817438
514;0,02399325;2399,324998
513;0,024915837;2491,583675
512;0,025849424;2584,94243
511;0,026827592;2682,75924
510;0,02791738;2791,737951
509;0,029097201;2909,72013
508;0,03034655;3034,655005
507;0,031661309;3166,13093
506;0,032989725;3298,972547
505;0,034495384;3449,53835
504;0,0360879;3608,79004
503;0,037788186;3778,818622
502;0,039664831;3966,483101
501;0,041612126;4161,212593
500;0,043677293;4367,729276
499;0,045905337;4590,533674
498;0,048254579;4825,457931
497;0,050777737;5077,773705
496;0,053374238;5337,423831
495;0,055976961;5597,696081
494;0,058794886;5879,488587
493;0,06169945;6169,945002
492;0,064598456;6459,845603
491;0,067732193;6773,219258
490;0,070867911;7086,791098
489;0,074083053;7408,305258
488;0,07737577;7737,576962
487;0,080752909;8075,290918
486;0,084191427;8419,142663
485;0,087504037;8750,403672
484;0,090777665;9077,766538
483;0,094084635;9408,463538
482;0,097192355;9719,23545
481;0,100237481;10023,74813
480;0,103165895;10316,58947
479;0,105915859;10591,58593
478;0,108581729;10858,17292
477;0,111054912;11105,49122
476;0,113350973;11335,09725
475;0,115433373;11543,33726
474;0,117449336;11744,93358
473;0,118992582;11899,2582
472;0,120379075;12037,90754
471;0,12156944;12156,94398
470;0,122513138;12251,31378
469;0,123347804;12334,7804
468;0,123951048;12395,10477
467;0,124509417;12450,94165
466;0,124951884;12495,18842
465;0,125186965;12518,69649
464;0,125437409;12543,74087
463;0,125551775;12555,17751
462;0,125698417;12569,84174
461;0,125698656;12569,86558
460;0,125785723;12578,57233
459;0,125765324;12576,53236
458;0,125749797;12574,97966
457;0,125700519;12570,05185
456;0,125800625;12580,06245
455;0,125868455;12586,84546
454;0,125882328;12588,23276
453;0,125812635;12581,26348
452;0,125531927;12553,19268
451;0,12531881;12531,88103
450;0,124986127;12498,6127
449;0,124524549;12452,45486
448;0,124096602;12409,66022
447;0,123575307;12357,53074
446;0,123135954;12313,59541
445;0,1225949;12259,49004
444;0,122007147;12200,71465
443;0,121503003;12150,30029
442;0,120867588;12086,75876
441;0,120277345;12027,73452
440;0,119578287;11957,8287
439;0,118874669;11887,46691
438;0,118259259;11825,92586
437;0,11746762;11746,76195
436;0,116653986;11665,39863
435;0,115743943;11574,39426
434;0,114812195;11481,21953
433;0,113784201;11378,42014
432;0,112686925;11268,69246
431;0,111578524;11157,85241
430;0,110424608;11042,4608
429;0,109324187;10932,4187
428;0,108321086;10832,10856
427;0,107138835;10713,88349
426;0,105839655;10583,96548
425;0,104567535;10456,75352
424;0,103129461;10312,94614
423;0,101509757;10150,97573
422;0,099861562;9986,156225
421;0,098068424;9806,842357
420;0,096181311;9618,131071
419;0,094216429;9421,64287
418;0,092109263;9210,926294
417;0,089960106;8996,010572
416;0,087800927;8780,092746
415;0,085497282;8549,728245
414;0,083395541;8339,554071
413;0,081371382;8137,138188
412;0,079399936;7939,99359
411;0,077601835;7760,183513
410;0,075986572;7598,657161
409;0,074504249;7450,42488
408;0,073091634;7309,163362
407;0,07183221;7183,220983
406;0,07078585;7078,585029
405;0,069904111;6990,411133
404;0,06910897;6910,897046
403;0,068484344;6848,434359
402;0,067945264;6794,526428
401;0,067464821;6746,482104
400;0,066888742;6688,874215
399;0,066336863;6633,686274
398;0,065887295;6588,729471
397;0,065447211;6544,721127
396;0,06485454;6485,453993
395;0,064281411;6428,141147
394;0,063692547;6369,254738
393;0,062920392;6292,039156
392;0,062047973;6204,797328
391;0,061176147;6117,614731
390;0,060268413;6026,841328
389;0,059331473;5933,147296
388;0,058434777;5843,477696
387;0,057558876;5755,887553
386;0,056694973;5669,497326
385;0,055948399;5594,839901
384;0,055431355;5543,135479
383;0,054911815;5491,181463
382;0,054626532;5462,65319
381;0,054579213;5457,921326
380;0,054638155;5463,81548
379;0,054680049;5468,004942
378;0,054839414;5483,941361
377;0,055165835;5516,583472
376;0,055656224;5565,622449
375;0,056286588;5628,658831
374;0,057094973;5709,497258
373;0,057865523;5786,55228
372;0,058836948;5883,694813
371;0,059766017;5976,60169
370;0,060899854;6089,985371
369;0,062237997;6223,799661
368;0,063587852;6358,785182
367;0,065021053;6502,105296
366;0,066389523;6638,952345
365;0,067926802;6792,680174
364;0,069430083;6943,008304
363;0,071000099;7100,009918
362;0,072574526;7257,452607
361;0,074005939;7400,593907
360;0,075175121;7517,512143
359;0,076263748;7626,374811
358;0,077259935;7725,993544
357;0,078116849;7811,684906
356;0,078817844;7881,784439
355;0,079382434;7938,243449
354;0,07968539;7968,539
353;0,079925112;7992,511243
352;0,080048911;8004,891127
351;0,080137722;8013,772219
350;0,080193356;8019,335568
349;0,079913378;7991,337776
348;0,079666205;7966,620475
347;0,079538502;7953,85018
346;0,079372153;7937,215269
345;0,079337969;7933,796942
344;0,079346046;7934,604585
343;0,079104908;7910,490781
342;0,079136528;7913,652807
341;0,078883119;7888,311893
340;0,078726292;7872,629166
339;0,078793235;7879,323512
338;0,07889796;7889,796048
337;0,07861159;7861,158997
336;0,078930058;7893,005759
335;0,079128265;7912,826538
334;0,079644404;7964,440435
333;0,080247164;8024,716377
332;0,081027441;8102,744073
331;0,081952311;8195,23111
330;0,083260939;8326,093853
329;0,084910303;8491,030335
328;0,086940058;8694,005758
327;0,089329287;8932,928741
326;0,092453159;9245,315939
325;0,09610457;9610,456973
324;0,10025917;10025,91699
323;0,105677843;10567,78431
322;0,111664847;11166,48465
321;0,118634917;11863,49168
320;0,126673445;12667,34451
319;0,136584833;13658,48333
318;0,147170529;14717,05288
317;0,1592706;15927,05995
316;0,172687709;17268,77093
315;0,187277541;18727,75406
314;0,20276612;20276,61204
313;0,218709946;21870,99457
312;0,235005125;23500,51254
311;0,251104534;25110,45337
310;0,266776651;26677,66511
309;0,28176409;28176,40901
308;0,295664966;29566,49661
307;0,308376014;30837,60142
306;0,320482791;32048,27905
305;0,331273496;33127,34962
304;0,341580063;34158,00631
303;0,351420432;35142,04323
302;0,361289859;36128,98588
301;0,372231096;37223,1096
300;0,383981377;38398,13769
299;0,397080004;39708,00042
298;0,412438065;41243,80648
297;0,42973879;42973,87898
296;0,449066579;44906,65793
295;0,470136553;47013,6553
294;0,492504358;49250,43583
293;0,515198886;51519,88864
292;0,536786854;53678,68543
291;0,5563218;55632,17998
290;0,572519958;57251,9958
289;0,583724678;58372,46776
288;0,589077234;58907,72343
287;0,588104665;58810,46653
286;0,58123529;58123,52896
285;0,568437398;56843,73975
284;0,551047504;55104,75039
283;0,530315161;53031,51608
282;0,506407559;50640,75589
281;0,480869532;48086,95316
280;0,454772234;45477,2234
279;0,42784515;42784,51502
278;0,400419653;40041,96525
277;0,373844445;37384,44448
276;0,347610503;34761,05034
275;0,322225481;32222,54813
274;0,298090071;29809,00705
273;0,275769472;27576,94721
272;0,255550236;25555,02355
271;0,237391278;23739,12781
270;0,221540541;22154,05405
269;0,208304405;20830,44052
268;0,197389901;19738,99007
267;0,188541859;18854,18594
266;0,18184568;18184,56799
265;0,177118436;17711,84355
264;0,174298421;17429,84205
263;0,174078167;17407,81665
262;0,176641613;17664,16132
261;0,182683989;18268,39894
260;0,192304954;19230,49539
