λ_nm;c_1E-5M;e_M_1_cm_1
800;0,001449649;144,9649455
799;0,00133188;133,187999
798;0,001337359;133,7358844
797;0,001449805;144,9805335
796;0,001431547;143,1546989
795;0,00140111;140,1109505
794;0,001505442;150,5441964
793;0,001374284;137,4283689
792;0,001455338;145,5337508
791;0,001461155;146,115548
790;0,001358469;135,8469483
789;0,001429236;142,9235563
788;0,001428508;142,8508316
787;0,001522249;152,2248727
786;0,001476142;147,6142206
785;0,00150565;150,5649765
784;0,001375634;137,5634107
783;0,001356626;135,6625813
782;0,00143056;143,056002
781;0,001466142;146,6142363
780;0,001465467;146,5467038
779;0,001390176;139,0176476
778;0,001346395;134,6395002
777;0,001395318;139,5318308
776;0,001402226;140,2226277
775;0,001455571;145,557127
774;0,001488896;148,8895738
773;0,001442429;144,2429144
772;0,001334165;133,416499
771;0,001420717;142,0716988
770;0,001430248;143,0248376
769;0,001447182;144,7182032
768;0,001453987;145,3986857
767;0,001467493;146,7492897
766;0,001425262;142,5261959
765;0,001436559;143,6559483
764;0,001406953;140,6952739
763;0,001376127;137,6127475
762;0,001410563;141,0562545
761;0,001425496;142,549572
760;0,001366493;136,6493409
759;0,001420613;142,0613145
758;0,001498481;149,848056
757;0,001459623;145,9622988
756;0,001421964;142,196368
755;0,001462974;146,2973538
754;0,001441182;144,1182452
753;0,00138197;138,197036
752;0,001440559;144,0559165
751;0,001466376;146,6376125
750;0,001487155;148,7155329
749;0,00146861;146,8609786
748;0,001450714;145,0714306
747;0,001424639;142,4638671
746;0,001449935;144,9935138
745;0,001415419;141,5419043
744;0,001386515;138,6514865
743;0,00139028;139,0280318
742;0,001523755;152,3755374
741;0,001467649;146,7648777
740;0,001383477;138,3476541
739;0,001469129;146,9129231
738;0,001434715;143,4715465
737;0,001451519;145,1519434
736;0,001404278;140,4277864
735;0,001442871;144,2870707
734;0,00148022;148,0220235
733;0,001466818;146,6817572
732;0,001419289;141,9288688
731;0,001422145;142,2145404
730;0,001478454;147,8453982
729;0,001557968;155,7968324
728;0,001553084;155,3084352
727;0,001467805;146,7804657
726;0,001389735;138,9735029
725;0,001448922;144,8922209
724;0,001420977;142,0976711
723;0,001483831;148,3830623
722;0,00145074;145,0740267
721;0,00151843;151,8430072
720;0,001437053;143,7052968
719;0,001441962;144,196162
718;0,001470714;147,0713643
717;0,001472064;147,2064294
716;0,001490974;149,0973635
715;0,001500688;150,0688493
714;0,001463363;146,336318
713;0,001519833;151,9832877
712;0,001535471;153,547118
711;0,001461831;146,1830689
710;0,001518067;151,8066507
709;0,001525808;152,5807544
708;0,001467571;146,7570895
707;0,001486376;148,6376161
706;0,001566801;156,6801337
705;0,00147196;147,1960451
704;0,001508403;150,840322
703;0,00145448;145,4480342
702;0,001488272;148,8272334
701;0,001477597;147,7596816
700;0,001529263;152,9262518
699;0,001488116;148,8116453
698;0,001513806;151,3806288
697;0,001517859;151,7858589
696;0,001489727;148,9726943
695;0,001492896;149,2895884
694;0,001431443;143,1443146
693;0,001546356;154,6355896
692;0,001471207;147,1207128
691;0,001440715;144,0715045
690;0,00152108;152,1079801
689;0,001523496;152,3495652
688;0,001489571;148,9571063
687;0,001506585;150,6584929
686;0,001488636;148,8635899
685;0,00152043;152,043032
684;0,001495909;149,5908946
683;0,001543576;154,3576247
682;0,001518326;151,8326229
681;0,001488844;148,88437
680;0,001520326;152,0326477
679;0,001524431;152,4430816
678;0,001493078;149,3077725
677;0,001511676;151,1676237
676;0,001468532;146,8531904
675;0,001525106;152,5106141
674;0,001508143;150,8143498
673;0,001464922;146,4921515
672;0,001489337;148,9337301
671;0,001562775;156,2774531
670;0,001540641;154,0640718
669;0,001519183;151,9183395
668;0,001472376;147,2376054
667;0,001452506;145,2506403
666;0,001526197;152,6197186
665;0,001499961;149,996113
664;0,001487259;148,7259287
663;0,001508143;150,8143498
662;0,001436793;143,6793245
661;0,001489571;148,9571063
660;0,001498429;149,8428523
659;0,001463649;146,3648863
658;0,001442092;144,209154
657;0,001471649;147,1648691
656;0,001442871;144,2870707
655;0,001471571;147,1570809
654;0,001437235;143,7234809
653;0,001463181;146,3181339
652;0,001465753;146,5752721
651;0,001498714;149,8714322
650;0,001474636;147,4635676
649;0,001440741;144,0741005
648;0,001442715;144,2714827
647;0,001443572;144,3571877
