lnm;eM5;eM5Ba;;
800;9,47E+00;170,2461625;;
798;14,35614249;163,560058;;
796;5,72E+00;165,8388763;;
794;11,59587337;170,4072813;;
792;9,15E+00;168,7726821;;
790;11,86774898;173,1594675;;
788;6,23E+00;166,0077833;;
786;8,58E+00;165,243831;;
784;-7,25E-01;164,0771283;;
782;5,92E+00;166,0805428;;
780;15,852871;178,0717401;;
778;10,97962668;166,4859126;;
776;10,48508275;167,6708576;;
774;10,08893378;174,828025;;
772;-1,78E+00;159,8133706;;
770;21,02449507;173,7546292;;
768;16,04190766;171,0595796;;
766;4,94E+00;161,3099244;;
764;17,54905388;175,8936443;;
762;6,35E+00;174,6149035;;
760;15,13816387;174,8072333;;
758;14,18523898;170,3475136;;
756;10,64561511;165,7063607;;
754;1,11E+00;163,7679292;;
752;9,21E+00;173,4297606;;
750;10,55240282;182,0929465;;
748;10,63007949;170,7737101;;
746;-1,50E+00;167,4837666;;
744;5,62E+00;172,8891861;;
742;14,29399563;179,1010494;;
740;12,37784454;176,397874;;
738;6,40E+00;175,7298945;;
736;4,07E+00;170,5684117;;
734;3,77E+00;170,2175708;;
732;4,95E+00;175,3608231;;
730;10,87605706;176,2991073;;
728;8,21E+00;180,1147941;;
726;5,57E+00;171,5351711;;
724;14,28622636;172,8709904;;
722;13,11063243;182,5062558;;
720;11,7227486;175,0333467;;
718;17,19686406;177,7936239;;
716;8,01E+00;169,4613369;;
714;10,1407175;174,4693611;;
712;6,65E+00;174,3679983;;
710;20,05590068;181,3521027;;
708;6,97E+00;182,6284337;;
706;6,14E+00;176,5330206;;
704;18,93453591;186,5928643;;
702;11,58810555;183,6890471;;
700;17,02853915;181,8589866;;
698;13,93665298;186,5980681;;
696;4,73E+00;173,1412834;;
694;16,25684235;182,6648251;;
692;12,54356321;181,7576122;;
690;14,23443755;185,6985618;;
688;14,97243647;182,2905033;;
686;14,27069074;188,9248961;;
684;13,85897049;189,9076626;;
682;19,92123289;194,0495684;;
680;15,01386723;188,0513388;;
678;21,33268717;196,0361609;;
676;18,64966616;186,7332496;;
674;20,96492826;191,76926;;
672;14,93618329;191,4416556;;
670;12,59276032;192,3750737;;
668;25,31608916;194,9934405;;
666;19,74771731;197,8096087;;
664;26,44021006;203,7701663;;
662;21,41556324;190,6746533;;
660;26,44021006;202,9717201;;
658;24,23084807;203,9860236;;
656;24,41474062;204,8052847;;
654;31,92395088;209,0136288;;
652;26,289979;202,2409346;;
650;31,13126731;206,2435728;;
648;30,30750959;207,4113814;;
646;30,12359084;210,3792271;;
644;28,08241115;206,8183618;;
642;33,25548896;209,2893468;;
640;34,59743166;218,6829457;;
638;41,62905097;215,5298367;;
636;39,28677761;213,1521469;;
634;40,43717054;221,7790345;;
632;41,14970507;220,89181;;
630;40,13402504;227,4410333;;
628;44,62444049;225,2526348;;
626;46,64048611;224,3028954;;
624;44,40418561;227,3161197;;
622;55,82011654;237,4111442;;
620;59,32713975;237,2445771;;
618;55,0762401;238,876557;;
616;54,49825549;240,2561018;;
614;57,38307955;243,8014606;;
612;66,68423885;249,8490503;;
